BRINNUMMER;INSTELLINGSNAAM_VESTIGING;VESTIGINGSNUMMER;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL_LEERLINGEN;AANTAL_ZITTENBLIJVERS;AANTAL_AFSTROMERS;AANTAL_OPSTROMERS
00AH;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;00;ENSCHEDE;0153;ENSCHEDE;Overijssel;1009;113;22;161
00AH;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;07;ENSCHEDE;0153;ENSCHEDE;Overijssel;1013;113;5;116
00AH;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;08;ENSCHEDE;0153;ENSCHEDE;Overijssel;312;19;0;15
00AH;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;09;ENSCHEDE;0153;ENSCHEDE;Overijssel;238;46;2;6
00AH;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;11;ENSCHEDE;0153;ENSCHEDE;Overijssel;262;65;0;6
00AH;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;17;ENSCHEDE;0153;ENSCHEDE;Overijssel;586;31;4;5
00AH;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;18;ENSCHEDE;0153;ENSCHEDE;Overijssel;48;1;0;0
00AQ;Zwin College Scholengemeenschap voor Vmbo Havo Atheneum Gymnasium;00;OOSTBURG;1714;SLUIS;Zeeland;871;54;32;43
00BD;Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs;00;WADDINXVEEN;0627;WADDINXVEEN;Zuid-Holland;951;56;77;18
00BD;Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs;02;BOSKOOP;0484;ALPHEN AAN DEN RIJN;Zuid-Holland;78;4;18;0
00CB;Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs;00;NIJMEGEN;0268;NIJMEGEN;Gelderland;826;127;4;120
00CB;Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs;01;ZEIST;0355;ZEIST;Utrecht;700;34;59;150
00CB;Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs;02;EINDHOVEN;0772;EINDHOVEN;Noord-Brabant;583;128;1;87
00DI;rsg de Borgen voor Lyceum Havo Mavo Vbo Lwoo;00;LEEK;1969;WESTERKWARTIER;Groningen;325;19;6;8
00DI;rsg de Borgen voor Lyceum Havo mavo Vbo Lwoo;01;RODEN;1699;NOORDENVELD;Drenthe;458;16;14;49
