BRINNUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;GEMEENTENUMMER VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;TOTAAL LEERLINGEN;AANTAL ZITTENBLIJVERS;AANTAL AFSTROMERS;AANTAL OPSTROMERS;PERCENTAGE ZITTENBLIJVERS;PERCENTAGE AFSTROMERS;PERCENTAGE OPSTROMERS
00AH;0;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;ENSCHEDE;153;ENSCHEDE;Overijssel;1.001;84;25;139;8,39;2,5;13,89
00AH;7;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;ENSCHEDE;153;ENSCHEDE;Overijssel;927;77;6;182;8,31;0,65;19,63
00AH;8;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;ENSCHEDE;153;ENSCHEDE;Overijssel;258;20;1;16;7,75;0,39;6,2
00AH;9;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;ENSCHEDE;153;ENSCHEDE;Overijssel;159;12;2;5;7,55;1,26;3,14
00AH;11;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;ENSCHEDE;153;ENSCHEDE;Overijssel;125;41;0;10;32,8;0;8
00AH;17;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;ENSCHEDE;153;ENSCHEDE;Overijssel;761;73;8;31;9,59;1,05;4,07
00AQ;0;Zwin College Scholengemeenschap voor Vmbo Havo Atheneum Gymnasium;OOSTBURG;1714;SLUIS;Zeeland;996;54;41;42;5,42;4,12;4,22
00BD;0;Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs;WADDINXVEEN;627;WADDINXVEEN;Zuid-Holland;981;69;79;16;7,03;8,05;1,63
00BD;2;Coenecoop College voor Atheneum Havo Mavo Voorbereidend Beroeps Onderwijs;BOSKOOP;484;ALPHEN AAN DEN RIJN;Zuid-Holland;107;3;21;0;2,8;19,63;0
00CB;0;Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs;NIJMEGEN;268;NIJMEGEN;Gelderland;827;79;0;94;9,55;0;11,37
00CB;1;Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs;ZEIST;355;ZEIST;Utrecht;657;23;60;150;3,5;9,13;22,83
00CB;2;Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;562;63;1;88;11,21;0,18;15,66
00DI;0;rsg de Borgen voor Lyceum Havo Mavo Vbo Lwoo;LEEK;22;LEEK;Groningen;667;24;11;31;3,6;1,65;4,65
00DI;1;rsg de Borgen voor Lyceum Havo mavo Vbo Lwoo;RODEN;1699;NOORDENVELD;Drenthe;416;12;9;46;2,88;2,16;11,06
00DI;2;rsg de Borgen voor Lyceym havo Mavo Vbo Lwoo;LEEK;22;LEEK;Groningen;1.338;71;49;38;5,31;3,66;2,84
00DI;3;rsg de Borgen voor Lyceum havo mavo Vbo Lwoo;GROOTEGAST;15;GROOTEGAST;Groningen;229;0;11;14;0;4,8;6,11
00DI;4;rsg de Borgen voor Lyceum Havo mavo Vbo Lwoo;RODEN;1699;NOORDENVELD;Drenthe;6;0;0;0;0;0;0
00EF;0;Voortgezet Onderwijs van Amsterdam voor Vbo en Lwoo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;517;7;2;4;1,35;0,39;0,77
00HI;0;Scholengemeenschap Dalton Vatel Voor Lyceum HAVO MAVO VBO LWOO;VOORBURG;1916;LEIDSCHENDAM-VOORBURG;Zuid-Holland;1.202;79;16;204;6,57;1,33;16,97
00HI;3;Scholengemeenschap Dalton Vatel Voor Lyceum HAVO MAVO VBO LWOO;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;465;35;14;9;7,53;3,01;1,94
00IP;0;Katholiek Scholengemeenschap Hoofddorp voor Lyceum HAVO en MAVO;HOOFDDORP;394;HAARLEMMERMEER;Noord-Holland;998;46;40;43;4,61;4,01;4,31
00JR;0;Scholengemeenschap Spieringshoek voor Gymnasium Atheneum en HAVO;SCHIEDAM;606;SCHIEDAM;Zuid-Holland;1.496;134;62;9;8,96;4,14;0,6
00JT;0;Gereformeerd Scholengemeenschap Guido De Bres Lyceum HAVO MAVO VBO LWOO;AMERSFOORT;307;AMERSFOORT;Utrecht;759;55;19;8;7,25;2,5;1,05
00JT;2;Gereformeerd Scholengemeenschap Guido De Bres Lyceum HAVO MAVO VBO LWOO;AMERSFOORT;307;AMERSFOORT;Utrecht;389;7;2;11;1,8;0,51;2,83
00JT;3;Gereformeerd Scholengemeenschap Guido De Bres Lyceum HAVO MAVO VBO LWOO;ARNHEM;202;ARNHEM;Gelderland;150;9;1;4;6;0,67;2,67
00JT;6;Gereformeerd Scholengemeenschap Guido De Bres Lyceum HAVO MAVO VBO LWOO;AMERSFOORT;307;AMERSFOORT;Utrecht;519;3;11;57;0,58;2,12;10,98
00KV;0;KSE (Katholieke Scholengemeenschap Etten-Leur e.o.);ETTEN-LEUR;777;ETTEN-LEUR;Noord-Brabant;1.979;106;30;65;5,36;1,52;3,28
00KV;1;KSE (Katholieke Scholengemeenschap Etten-Leur e.o.);ETTEN-LEUR;777;ETTEN-LEUR;Noord-Brabant;479;14;33;22;2,92;6,89;4,59
00LJ;0;Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo;AALTEN;197;AALTEN;Gelderland;939;69;19;31;7,35;2,02;3,3
00LJ;1;Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo;DINXPERLO;197;AALTEN;Gelderland;155;10;7;6;6,45;4,52;3,87
00LJ;2;Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo;WINTERSWIJK;294;WINTERSWIJK;Gelderland;200;3;7;12;1,5;3,5;6
00LJ;5;Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo;AALTEN;197;AALTEN;Gelderland;471;15;8;13;3,18;1,7;2,76
00LY;0;PC RK SGM Zeldenrust Steelantcollege;TERNEUZEN;715;TERNEUZEN;Zeeland;1.477;65;26;153;4,4;1,76;10,36
00MK;0;Katholiek Scholengemeenschap De Breul voor Gymnasium Atheneum Havo en Mavo;ZEIST;355;ZEIST;Utrecht;1.671;70;37;90;4,19;2,21;5,39
