"GEMEENTENAAM.VESTIGING";"schoolnaam";"totaal.leerlingen";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"denominatie";"percentage.zittenblijvers";"percentage.opstromers"
"AMERSFOORT";"GSG Guido de Bres, loc. Paladijnenweg";"759";0;0;93,75;6,62265625;96,1038961038961;6,8974025974026;"Gereformeerd";7,25;1,05
"AMERSFOORT";"GSG Guido de Bres, loc. Arnhemseweg";"389";93,0232558139535;6,58837209302326;0;0;0;0;"Gereformeerd";1,8;2,83
"AMERSFOORT";"Johan van Oldenbarnevelt";"912";0;0;0;0;96,2406015037594;6,89548872180451;"Openbaar";4,17;0
"AMERSFOORT";"Farelcollege";"1.282";92,7710843373494;6,4;80,5309734513274;6,36283185840708;97,7272727272727;6,84545454545454;"Protestants-Christelijk";6,79;4,21
"AMERSFOORT";"Corderius College";"1.720";98,8235294117647;6,7;90,1639344262295;6,50983606557377;88,3495145631068;6,78834951456311;"Protestants-Christelijk";4,42;4,19
"AMERSFOORT";"Prisma College";"716";92,1052631578947;6,46578947368421;0;0;0;0;"Protestants-Christelijk";7,26;8,8
"AMERSFOORT";"Vakcollege";"518";88,1118881118881;6,26503496503496;0;0;0;0;"Rooms-Katholiek";0,19;7,14
"AMERSFOORT";"Het Nieuwe Eemland ";"1.381";87,719298245614;6,4;91,5032679738562;6,58823529411765;89,1891891891892;6,63648648648649;"Rooms-Katholiek";6,08;2,24
"AMERSFOORT";"Mavo Muurhuizen  ";"710";89,4117647058824;6,47352941176471;81,8181818181818;6,4;0;0;"Rooms-Katholiek";3,24;2,25
"AMERSFOORT";"’t Hooghe Landt";"608";95,5882352941177;6,6;93,3333333333333;6,64888888888889;91,4893617021277;6,76170212765958;"Rooms-Katholiek";7,57;1,32
"AMERSFOORT";"De Amersfoortse Berg";"1.327";93,75;6,5;90,990990990991;6,45675675675676;95,5056179775281;6,7;"Openbaar";5,43;17,48
"AMERSFOORT";"t Atrium";"1.055";97,1830985915493;6,5;92;6,561;88,8888888888889;6,81587301587302;"Openbaar";4,93;3,51
"AMERSFOORT";"Vathorst College";"963";97,2972972972973;6,5;89,1566265060241;6,46746987951807;83,7209302325581;6,63488372093023;"Openbaar";7,89;17,86
"AMERSFOORT";"MAVO Trivium College";"97";78,5714285714286;6,31428571428571;0;0;0;0;"Openbaar";38,14;1,03
"AMERSFOORT";"VMBO Trivium College";"353";100;6,58253968253968;0;0;0;0;"Openbaar";20,4;0,28
"AMERSFOORT";"Van Lodensteincollege";"1.140";0;0;87,8787878787879;6,49015151515152;92,6829268292683;6,97560975609756;"Reformatorisch";3,16;3,68
"AMERSFOORT";"Wellantcollege";"386";89,247311827957;6,52150537634409;0;0;0;0;"Algemeen bijzonder";1,55;6,22
"BAARN";"Het Baarnsch Lyceum";"1.002";0;0;94,6236559139785;6,69032258064516;95,6140350877193;6,99122807017544;"Algemeen bijzonder";3,49;1,4
"BAARN";"Prot Chr Mavo Waldheim";"375";91,7525773195876;6,5;0;0;0;0;"Protestants-Christelijk";3,47;4
