"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"CSG Calvijn Focus Beroepsacademie Barendrecht";"BARENDRECHT";"Protestants-Christelijk";267;"100";"0";"0";"99.2063492063492";"6.78730158730159";"-";"-";"-";"-";"0.963855421686747";"0.481927710843374"
"CSG Calvijn Groene Hart Barendecht voor lwoo,vbo,mavo havo en vwo";"BARENDRECHT";"Protestants-Christelijk";1241;"26.027397260274";"46.1724415793715";"27.8001611603546";"96.4539007092199";"6.62695035460993";"93.5064935064935";"6.51103896103896";"90.5660377358491";"6.73396226415094";"6.02791878172589";"2.85532994923858"
"Dalton Barendrecht";"BARENDRECHT";"Openbaar";1415;"16.8904593639576";"39.1519434628975";"43.9575971731449";"95.8762886597938";"6.5701030927835";"82.5";"6.42166666666667";"97.6470588235294";"6.77529411764706";"4.17177914110429";"2.57668711656442"
"Dalton Focus Beroepsacademie";"BARENDRECHT";"Openbaar";118;"100";"0";"0";"100";"7.03538461538461";"-";"-";"-";"-";"1.875";"0"
"Onderwijsgroep Zuid-Hollandse Waarden locatie OZHWgroen";"BARENDRECHT";"Openbaar";142;"100";"0";"0";"100";"6.77142857142857";"-";"-";"-";"-";"-";"-"
"Insula College";"DORDRECHT";"Protestants-Christelijk";919;"0";"61.0446137105549";"38.9553862894451";"-";"-";"84.3137254901961";"6.58823529411765";"82.7160493827161";"6.6283950617284";"4.97427101200686";"0.428816466552316"
"Insula College mavo";"DORDRECHT";"Protestants-Christelijk";614;"100";"0";"0";"91.1917098445596";"6.54352331606218";"-";"-";"-";"-";"5.67282321899736";"5.80474934036939"
"Insula College vmbo";"DORDRECHT";"Protestants-Christelijk";197;"100";"0";"0";"97.4137931034483";"6.54741379310345";"-";"-";"-";"-";"2.59433962264151";"6.36792452830189"
"Joh De Wittgymnasium";"DORDRECHT";"Openbaar";816;"0";"0";"100";"-";"-";"-";"-";"88.8";"6.7328";"4.98261877172654";"0"
"Stedelijk Dalton Lyceum";"DORDRECHT";"Openbaar";480;"0";"0";"100";"-";"-";"-";"-";"88.4057971014493";"6.60579710144928";"7.73006134969325";"0"
"Stedelijk Dalton Lyceum";"DORDRECHT";"Openbaar";199;"100";"0";"0";"100";"6.53516483516484";"-";"-";"-";"-";"6.73316708229426";"9.22693266832918"
"Stedelijk Dalton Lyceum, Kapteynweg ";"DORDRECHT";"Openbaar";666;"34.984984984985";"65.015015015015";"0";"92.7927927927928";"6.44864864864865";"79.3548387096774";"6.40967741935484";"-";"-";"9.02716914986854";"11.3935144609991"
"Wartburg College";"DORDRECHT";"Reformatorisch";521;"50.4798464491363";"32.2456813819578";"17.2744721689059";"98.0392156862745";"6.5921568627451";"-";"-";"-";"-";"2.13740458015267";"1.37404580152672"
"Wellantcollege mavo Stek";"DORDRECHT";"Algemeen bijzonder";456;"100";"0";"0";"83.756345177665";"6.44517766497462";"-";"-";"-";"-";"5.34979423868313";"5.34979423868313"
"C S De Hoven Uilenhof";"GORINCHEM";"Protestants-Christelijk";275;"90.9090909090909";"9.09090909090909";"0";"93.1297709923664";"6.60610687022901";"-";"-";"-";"-";"4.00801603206413";"9.81963927855711"
"Fortis Lyceum";"GORINCHEM";"Openbaar";732;"26.0928961748634";"44.1256830601093";"29.7814207650273";"93.9024390243902";"6.45121951219512";"94.0476190476191";"6.48571428571428";"100";"6.82926829268293";"4.32098765432099";"15.0793650793651"
"Gem Gymn Camphusianum";"GORINCHEM";"Openbaar";712;"0";"0";"100";"-";"-";"-";"-";"91.1111111111111";"6.67333333333333";"4.25531914893617";"0"
"Gilde";"GORINCHEM";"Protestants-Christelijk";415;"88.1927710843374";"11.8072289156626";"0";"99.4818652849741";"6.71709844559586";"-";"-";"-";"-";"1.27713920817369";"10.727969348659"
