"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Ashram College";"ALPHEN AAN DEN RIJN";"Rooms-Katholiek";758;"16.2269129287599";"47.3614775725594";"36.4116094986807";"78.8461538461538";"6.14230769230769";"85.0574712643678";"6.54195402298851";"90.0900900900901";"6.65405405405405";"8.13648293963255";"14.4356955380577"
"Chr Sgm Groene Hart Leerpark";"ALPHEN AAN DEN RIJN";"Protestants-Christelijk";372;"100";"0";"0";"96.7567567567568";"6.81513513513513";"-";"-";"-";"-";"5.03978779840849";"2.38726790450928"
"Chr Sgm Groene Hart Lyceum";"ALPHEN AAN DEN RIJN";"Protestants-Christelijk";1186;"0";"52.6138279932546";"47.3861720067454";"-";"-";"88.5869565217391";"6.58695652173913";"90.625";"6.825";"6.54135338345865";"0.601503759398496"
"Chr Sgm Groene Hart Rijnwoude";"ALPHEN AAN DEN RIJN";"Protestants-Christelijk";191;"79.0575916230366";"20.9424083769633";"0";"87.8378378378378";"6.42702702702703";"-";"-";"-";"-";"1.85676392572944";"2.91777188328912"
"Chr Sgm Groene Hart Topmavo";"ALPHEN AAN DEN RIJN";"Protestants-Christelijk";636;"84.2767295597484";"15.7232704402516";"0";"95.0704225352113";"6.69507042253521";"-";"-";"-";"-";"3.94736842105263";"11.9736842105263"
"Scala College";"ALPHEN AAN DEN RIJN";"Openbaar";850;"35.0588235294118";"64.9411764705882";"0";"89.7142857142857";"6.50571428571429";"86.5853658536585";"6.42804878048781";"-";"-";"9.78384527872583";"3.64050056882821"
"Scala College";"ALPHEN AAN DEN RIJN";"Openbaar";490;"0";"0";"100";"-";"-";"-";"-";"93.0379746835443";"6.71708860759494";"8.1447963800905";"0"
"Wellantcollege";"ALPHEN AAN DEN RIJN";"Algemeen bijzonder";221;"100";"0";"0";"98.0582524271845";"6.71747572815534";"-";"-";"-";"-";"1.91387559808612";"6.9377990430622"
"Wellantcollege";"ALPHEN AAN DEN RIJN";"Algemeen bijzonder";212;"100";"0";"0";"96.9072164948454";"6.78144329896907";"-";"-";"-";"-";"2.10526315789474";"6.31578947368421"
"Veenlanden College Mijdrecht";"DE RONDE VENEN";"Samenwerking PC, RK";1141;"22.1735319894829";"43.0324276950044";"34.7940403155127";"95.2941176470588";"6.67529411764706";"89.6774193548387";"6.43290322580645";"91.8918918918919";"6.67972972972973";"4.38218390804598";"4.23850574712644"
"Veenlanden College Vinkeveen";"DE RONDE VENEN";"Samenwerking PC, RK";76;"100";"0";"0";"98.1818181818182";"6.49636363636364";"-";"-";"-";"-";"3.37837837837838";"9.45945945945946"
