"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Chr Lyceum Delft";"DELFT";"Protestants-Christelijk";1353;"0";"48.4109386548411";"51.5890613451589";"-";"-";"87.9069767441861";"6.49674418604651";"96.8503937007874";"6.98267716535433";"7.23306544202067";"0.574052812858783"
"Chr Lyceum Delft, Hof van Delft";"DELFT";"Protestants-Christelijk";286;"100";"0";"0";"93.6842105263158";"6.59473684210526";"-";"-";"-";"-";"6.5843621399177";"9.46502057613169"
"Chr Lyceum Delft, SC Delfland";"DELFT";"Protestants-Christelijk";129;"100";"0";"0";"97.9591836734694";"6.7";"-";"-";"-";"-";"1.01010101010101";"0.505050505050505"
"Grotius College";"DELFT";"Openbaar";599;"26.2103505843072";"42.5709515859766";"31.2186978297162";"95.1219512195122";"6.55487804878049";"92.3076923076923";"6.89038461538462";"87.5";"6.9";"7.02274975272008";"7.81404549950544"
"Grotius College Voor Lyceum Havo Mavo Vbo Lwoo";"DELFT";"Openbaar";132;"100";"0";"0";"94.3396226415094";"6.54528301886792";"-";"-";"-";"-";"2.5";"2.08333333333333"
"Sint Stanislascollege";"DELFT";"Rooms-Katholiek";1443;"0";"27.027027027027";"72.972972972973";"-";"-";"95.3488372093023";"6.63255813953488";"94.1489361702128";"6.9718085106383";"4.03690888119954";"0.922722029988466"
"Sint Stanislascollege Krakeelpolderweg";"DELFT";"Rooms-Katholiek";263;"100";"0";"0";"96.1290322580645";"6.64064516129032";"-";"-";"-";"-";"6.16822429906542";"1.1214953271028"
"Sint Stanislascollege, Reinier de Graaf";"DELFT";"Rooms-Katholiek";541;"51.7560073937153";"48.2439926062847";"0";"85.5172413793103";"6.42";"90.2777777777778";"6.49444444444444";"-";"-";"5.078125";"7.8125"
"'s Gravendreef College voor vbo, mavo en havo";"LEIDSCHENDAM-VOORBURG";"Samenwerking PC, RK";140;"100";"0";"0";"92.6829268292683";"6.58780487804878";"-";"-";"-";"-";"2.77777777777778";"0"
"Corbulo College";"LEIDSCHENDAM-VOORBURG";"Samenwerking PC, RK";120;"100";"0";"0";"100";"6.61212121212121";"-";"-";"-";"-";"18.4834123222749";"0.947867298578199"
"Gymnasium Novum";"LEIDSCHENDAM-VOORBURG";"Algemeen bijzonder";564;"0";"0";"100";"-";"-";"-";"-";"96.039603960396";"6.96435643564356";"4.67032967032967";"0"
"SGM Dalton Vatel";"LEIDSCHENDAM-VOORBURG";"Algemeen bijzonder";808;"24.3811881188119";"42.0792079207921";"33.539603960396";"94.0298507462687";"6.51044776119403";"70.6521739130435";"6.3304347826087";"90.3225806451613";"6.72741935483871";"6.59163987138264";"17.524115755627"
"St Maartenscollege SGM";"LEIDSCHENDAM-VOORBURG";"Rooms-Katholiek";977;"18.935516888434";"32.446264073695";"48.618219037871";"100";"6.86835443037975";"97.1153846153846";"6.76634615384615";"95.8904109589041";"6.8041095890411";"3.64212193190816";"4.35471100554236"
"Veurs College";"LEIDSCHENDAM-VOORBURG";"Samenwerking PC, RK";602;"26.578073089701";"45.514950166113";"27.906976744186";"87.3239436619718";"6.26901408450704";"81.8181818181818";"6.51969696969697";"77.1428571428572";"6.36";"10.9357384441939";"3.72040586245772"
"Veurs Voorburg";"LEIDSCHENDAM-VOORBURG";"Samenwerking PC, RK";185;"100";"0";"0";"90.9090909090909";"6.26136363636364";"-";"-";"-";"-";"6.50406504065041";"10.0271002710027"
"Lentiz locatie Revius";"MAASSLUIS";"Samenwerking PC, RK";512;"0.1953125";"50.1953125";"49.609375";"-";"-";"87.5";"6.59431818181818";"93.8775510204082";"6.66938775510204";"5.15970515970516";"17.0761670761671"
"Lentiz Maassluis";"MAASSLUIS";"Overige";106;"100";"0";"0";"96.6666666666667";"6.63666666666667";"-";"-";"-";"-";"-";"-"
"Lentiz";"MIDDEN-DELFLAND";"Algemeen bijzonder";272;"100";"0";"0";"95.8041958041958";"6.68881118881119";"-";"-";"-";"-";"2.60223048327138";"0.371747211895911"
"Sint Stanislascollege Pijnacker-Rijswijk  voor vwo havo mavo vbo lwoo";"PIJNACKER-NOOTDORP";"Rooms-Katholiek";1083;"17.3591874422899";"52.2622345337027";"30.3785780240074";"82.5581395348837";"6.25930232558139";"96.4601769911504";"6.60442477876106";"94.1176470588235";"6.73921568627451";"-";"-"
"Atlas Onderwijsgroep voor gymnasium, atheneum, havo, vmbo";"RIJSWIJK";"Openbaar";185;"100";"0";"0";"88.6075949367088";"6.40506329113924";"-";"-";"-";"-";"7.2972972972973";"3.78378378378378"
"Geref SGM Randstad";"RIJSWIJK";"Gereformeerd";58;"100";"0";"0";"77.7777777777778";"6.6";"-";"-";"-";"-";"3.92156862745098";"3.26797385620915"
"Rijswijks Lyceum";"RIJSWIJK";"Openbaar";949;"44.3624868282403";"42.5711275026344";"13.0663856691254";"89.4736842105263";"6.33684210526316";"80.7692307692308";"6.3551282051282";"46.875";"6.140625";"8.82352941176471";"5.05514705882353"
"Sint Stanislascollege Pijnacker-Rijswijk voor vwo havo mavo vbo lwoo";"RIJSWIJK";"Rooms-Katholiek";279;"100";"0";"0";"96.5811965811966";"6.62478632478633";"-";"-";"-";"-";"-";"-"
"'s Gravendreef College voor vbo, mavo en havo";"S GRAVENHAGE";"Samenwerking PC, RK";348;"31.3218390804598";"68.6781609195402";"0";"98.2456140350877";"6.66228070175439";"94.6428571428571";"6.7125";"-";"-";"1.85676392572944";"5.57029177718833"
