"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"CSG Calvijn Focus Beroepsacademie Barendrecht";"BARENDRECHT";"Protestants-Christelijk";267;"100";"0";"0";"99.2063492063492";"6.78730158730159";"-";"-";"-";"-";"0.963855421686747";"0.481927710843374"
"CSG Calvijn Groene Hart Barendecht voor lwoo,vbo,mavo havo en vwo";"BARENDRECHT";"Protestants-Christelijk";1241;"26.027397260274";"46.1724415793715";"27.8001611603546";"96.4539007092199";"6.62695035460993";"93.5064935064935";"6.51103896103896";"90.5660377358491";"6.73396226415094";"6.02791878172589";"2.85532994923858"
"Dalton Barendrecht";"BARENDRECHT";"Openbaar";1415;"16.8904593639576";"39.1519434628975";"43.9575971731449";"95.8762886597938";"6.5701030927835";"82.5";"6.42166666666667";"97.6470588235294";"6.77529411764706";"4.17177914110429";"2.57668711656442"
"Dalton Focus Beroepsacademie";"BARENDRECHT";"Openbaar";118;"100";"0";"0";"100";"7.03538461538461";"-";"-";"-";"-";"1.875";"0"
"Onderwijsgroep Zuid-Hollandse Waarden locatie OZHWgroen";"BARENDRECHT";"Openbaar";142;"100";"0";"0";"100";"6.77142857142857";"-";"-";"-";"-";"-";"-"
"Maerlant";"BRIELLE";"Openbaar";995;"35.3768844221106";"33.1658291457286";"31.4572864321608";"97.3333333333333";"6.658";"90.9090909090909";"6.50707070707071";"91.8918918918919";"6.95675675675676";"6.23481781376518";"2.75303643724696"
"PENTA Bahûrim";"BRIELLE";"Protestants-Christelijk";157;"82.8025477707006";"17.1974522292994";"0";"90.3225806451613";"6.60967741935484";"-";"-";"-";"-";"3.75722543352601";"11.271676300578"
"Wellantcollege";"BRIELLE";"Algemeen bijzonder";178;"100";"0";"0";"95.5555555555556";"6.60444444444444";"-";"-";"-";"-";"0.831024930747922";"8.86426592797784"
"Comenius College";"CAPELLE AAN DEN IJSSEL";"Protestants-Christelijk";1441;"28.7300485773768";"37.4045801526718";"33.8653712699514";"95.6349206349206";"6.62380952380952";"91.0112359550562";"6.53876404494382";"82.6666666666667";"6.756";"5.66585956416465";"3.05084745762712"
"IJsselcollege Alkenlaan";"CAPELLE AAN DEN IJSSEL";"Openbaar";455;"69.2307692307692";"18.2417582417582";"12.5274725274725";"88.961038961039";"6.53766233766234";"91.6666666666667";"6.70277777777778";"96.1538461538462";"6.96538461538462";"5.63218390804598";"2.06896551724138"
"Chr SGM Prins Maurits";"GOEREE-OVERFLAKKEE";"Protestants-Christelijk";1386;"39.8268398268398";"36.1471861471861";"24.025974025974";"98.7951807228916";"6.93253012048193";"98.7654320987654";"6.70740740740741";"100";"7.05681818181818";"2.366040361865";"1.60055671537926"
"Edudelta College Middelharnis";"GOEREE-OVERFLAKKEE";"Openbaar";239;"100";"0";"0";"95.2380952380952";"6.76476190476191";"-";"-";"-";"-";"0.911161731207289";"5.23917995444191"
"RGO";"GOEREE-OVERFLAKKEE";"Openbaar";959;"30.9697601668405";"44.9426485922836";"24.0875912408759";"92.3076923076923";"6.52307692307692";"85.1851851851852";"6.53333333333333";"88.4615384615385";"6.80769230769231";"6.53095843935539";"17.3027989821883"
"RGO groen-techniek-economie";"GOEREE-OVERFLAKKEE";"Openbaar";29;"100";"0";"0";"100";"6.91481481481481";"-";"-";"-";"-";"-";"-"
"PENTA College Chr. SGM voor gymnasium atheneum havo mavo vmbo lwoo";"HELLEVOETSLUIS";"Protestants-Christelijk";1024;"8.984375";"42.67578125";"48.33984375";"96.4912280701754";"6.53508771929825";"87.8260869565217";"6.54086956521739";"89.010989010989";"6.88791208791209";"5.59284116331096";"2.46085011185682"
