"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Koningin Wilhelmina College";"CULEMBORG";"Samenwerking PC, RK";977;"14.7389969293756";"27.7379733879222";"57.5230296827022";"97.8947368421053";"6.67157894736842";"84.5238095238095";"6.5202380952381";"90";"6.64125";"3.90977443609023";"2.4812030075188"
"Koningin Wilhelmina College, vmbo";"CULEMBORG";"Samenwerking PC, RK";247;"100";"0";"0";"97.8494623655914";"6.96344086021505";"-";"-";"-";"-";"0.380228136882129";"3.42205323193916"
"Lek en Linge havo";"CULEMBORG";"Openbaar";689;"0";"99.1291727140784";"0.870827285921626";"-";"-";"90.2834008097166";"6.58421052631579";"-";"-";"7.37812911725955";"0.658761528326746"
"Lek en Linge vmbo";"CULEMBORG";"Openbaar";373;"100";"0";"0";"97.9381443298969";"6.58505154639175";"-";"-";"-";"-";"4.08163265306122";"6.80272108843537"
"Lek en Linge vwo";"CULEMBORG";"Openbaar";930;"0";"0";"100";"-";"-";"-";"-";"89.9441340782123";"6.72905027932961";"5.4989816700611";"0"
"College De Heemlanden";"HOUTEN";"Samenwerking PC, RK, Alg. Bijz";1188;"0";"53.1986531986532";"46.8013468013468";"-";"-";"88.4615384615385";"6.52884615384615";"90.0709219858156";"6.66170212765957";"7.05368289637953";"0.873907615480649"
"Houtens";"HOUTEN";"Algemeen bijzonder";530;"100";"0";"0";"94.2857142857143";"6.55657142857143";"-";"-";"-";"-";"4.21686746987952";"2.40963855421687"
"Wellantcollege";"HOUTEN";"Algemeen bijzonder";225;"100";"0";"0";"93.3333333333333";"6.61777777777778";"-";"-";"-";"-";"4.31654676258993";"9.35251798561151"
"RK SGM Cals College";"IJSSELSTEIN";"Rooms-Katholiek";737;"78.0189959294437";"20.0814111261872";"1.89959294436906";"97.1181556195965";"6.59538904899135";"89.1566265060241";"6.48072289156626";"-";"-";"2.91201982651797";"2.66418835192069"
"Anna Van Ryn College";"NIEUWEGEIN";"Openbaar";740;"0";"52.2972972972973";"47.7027027027027";"-";"-";"84.1269841269841";"6.46349206349206";"87.5";"6.795";"7.74315391879131";"4.0604343720491"
"Anna Van Ryn College Opbare Scholengemeenschap voor Ath Havo Mavo Vbo";"NIEUWEGEIN";"Openbaar";288;"100";"0";"0";"91.1764705882353";"6.46470588235294";"-";"-";"-";"-";"-";"-"
"Anna xmbo";"NIEUWEGEIN";"Openbaar";26;"100";"0";"0";"98.0582524271845";"6.79126213592233";"-";"-";"-";"-";"5.53846153846154";"1.53846153846154"
"Oosterlicht College";"NIEUWEGEIN";"Protestants-Christelijk";1111;"33.3033303330333";"34.2934293429343";"32.4032403240324";"97.0149253731343";"6.61194029850746";"90.6542056074766";"6.48691588785047";"91.1764705882353";"6.63823529411765";"5.98476605005441";"3.31882480957563"
"RK SGM Cals College";"NIEUWEGEIN";"Rooms-Katholiek";1178;"0";"24.5331069609508";"75.4668930390492";"-";"-";"89.5652173913044";"6.65826086956522";"85.4460093896714";"6.75680751173709";"6.23024830699774";"0.225733634311512"
"Pantarijn SGM";"RHENEN";"Openbaar";172;"100";"0";"0";"89.7058823529412";"6.63088235294118";"-";"-";"-";"-";"4.18250950570342";"14.4486692015209"
"Broeckland College Breukelen";"STICHTSE VECHT";"Protestants-Christelijk";305;"100";"0";"0";"99.3506493506494";"6.61038961038961";"-";"-";"-";"-";"1.12179487179487";"0.16025641025641"
"Niftarlake College Maarssen";"STICHTSE VECHT";"Protestants-Christelijk";1483;"16.9925826028321";"43.6952124072825";"39.3122049898854";"93.9393939393939";"6.54848484848485";"85.5072463768116";"6.45434782608696";"88.5245901639344";"6.8";"6.64634146341463";"2.74390243902439"
"Rientjes Mavo Maarssen";"STICHTSE VECHT";"Rooms-Katholiek";422;"100";"0";"0";"92.948717948718";"6.63846153846154";"-";"-";"-";"-";"6.16570327552987";"6.55105973025048"
"RSG Broklede Breukelen";"STICHTSE VECHT";"Openbaar";1041;"0";"41.3064361191162";"58.6935638808838";"-";"-";"88.2352941176471";"6.41764705882353";"91.2408759124088";"6.61824817518248";"6.44677661169415";"0.749625187406297"
"Amadeus Lyceum";"UTRECHT";"Samenwerking PC, RK";1958;"22.6251276813075";"36.0572012257406";"41.317671092952";"94.3181818181818";"6.46022727272727";"91.9540229885057";"6.56666666666667";"93.9759036144578";"6.66024096385542";"4.50339296730413";"2.652683528686"
"Chr Gymnasium";"UTRECHT";"Protestants-Christelijk";974;"0";"0";"100";"-";"-";"-";"-";"91.5032679738562";"7.08104575163399";"3.60453141091658";"0"
"De Passie";"UTRECHT";"Evangelisch";908;"19.9339207048458";"41.6299559471366";"38.4361233480176";"95.9183673469388";"6.58775510204082";"97.0588235294118";"6.79411764705882";"93.0232558139535";"7.16046511627907";"6.51709401709402";"0.854700854700855"
"Gerrit Rietveld College";"UTRECHT";"Samenwerking PC, RK";1182;"15.7360406091371";"33.502538071066";"50.761421319797";"96";"6.55733333333333";"88.135593220339";"6.57627118644068";"95.1219512195122";"6.90487804878049";"3.02795031055901";"6.05590062111801"
"Globe College";"UTRECHT";"Protestants-Christelijk";373;"100";"0";"0";"98.4848484848485";"6.44545454545455";"-";"-";"-";"-";"3.72549019607843";"3.52941176470588"
"Leidsche Rijn College";"UTRECHT";"Openbaar";1322;"0";"46.2934947049924";"53.7065052950076";"-";"-";"91.8032786885246";"6.61065573770492";"96.4285714285714";"6.79047619047619";"5.38020086083214";"1.14777618364419"
"NUOVO SG, opb. vmbo, mavo, havo, vwo -  vest. ACADEMIE TIEN";"UTRECHT";"Openbaar";287;"100";"0";"0";"89.4736842105263";"6.45";"-";"-";"-";"-";"2.63852242744063";"4.48548812664908"
"St Bonifatius College";"UTRECHT";"Rooms-Katholiek";1238;"0";"27.8675282714055";"72.1324717285945";"-";"-";"92.2077922077922";"6.45454545454545";"92.3913043478261";"6.64945652173913";"5.59578670177749";"1.0533245556287"
"St Gregorius College";"UTRECHT";"Rooms-Katholiek";759;"44.532279314888";"33.7285902503294";"21.7391304347826";"77.027027027027";"6.19189189189189";"76.6355140186916";"6.36355140186916";"82.5";"6.4575";"9.01803607214429";"3.0060120240481"
"Trajectum College";"UTRECHT";"Openbaar";322;"100";"0";"0";"95.8333333333333";"6.47559523809524";"-";"-";"-";"-";"8.12182741116751";"2.03045685279188"
"UniC";"UTRECHT";"Openbaar";349;"0";"57.5931232091691";"42.4068767908309";"-";"-";"93.5064935064935";"6.56363636363636";"96.551724137931";"6.9";"3.71428571428571";"1"
"Utrechts Stedelijk Gymnasium";"UTRECHT";"Openbaar";1045;"0";"0";"100";"-";"-";"-";"-";"97.3913043478261";"7.20260869565217";"3.16593886462882";"0"
"Via Nova College";"UTRECHT";"Openbaar";331;"100";"0";"0";"97.5";"6.5925";"-";"-";"-";"-";"9.37042459736457";"3.80673499267936"
"Wellantcollege";"UTRECHT";"Algemeen bijzonder";141;"100";"0";"0";"98.4126984126984";"6.42380952380952";"-";"-";"-";"-";"2.87539936102236";"1.2779552715655"
"X11 media en vormgeving";"UTRECHT";"Openbaar";441;"71.2018140589569";"28.7981859410431";"0";"98.7012987012987";"6.67792207792208";"100";"6.8";"-";"-";"1.15702479338843";"11.5702479338843"
"Revius Lyceum Doorn";"UTRECHTSE HEUVELRUG";"Protestants-Christelijk";1357;"10.2431834929993";"22.8445099484156";"66.9123065585851";"92.6829268292683";"6.63658536585366";"89.247311827957";"6.6";"92.6174496644295";"6.75973154362416";"5.39811066126856";"2.42914979757085"
"Schoonoord Doorn ";"UTRECHTSE HEUVELRUG";"Openbaar";221;"95.0226244343891";"4.97737556561086";"0";"94.2028985507246";"6.4695652173913";"-";"-";"-";"-";"9.34256055363322";"4.49826989619377"
"Vakcollege Maarsbergen";"UTRECHTSE HEUVELRUG";"Openbaar";199;"100";"0";"0";"100";"6.76283185840708";"-";"-";"-";"-";"2.82776349614396";"4.62724935732648"
"Christelijk Lyceum";"VEENENDAAL";"Protestants-Christelijk";1841;"21.5100488864747";"38.5659967409017";"39.9239543726236";"97.0873786407767";"6.70194174757281";"88.5869565217391";"6.53858695652174";"94.6808510638298";"6.75744680851064";"7.92452830188679";"1.79245283018868"
"CSV Veenendaal";"VEENENDAAL";"Protestants-Christelijk";568;"100";"0";"0";"92.3423423423423";"6.54009009009009";"-";"-";"-";"-";"1.97505197505198";"5.3014553014553"
"Ichthus College";"VEENENDAAL";"Protestants Christelijk/Reform";1620;"22.6543209876543";"42.5308641975309";"34.8148148148148";"96.4912280701754";"6.6359649122807";"93.6781609195402";"6.61091954022988";"96.078431372549";"6.95";"3.34481062469257";"1.86915887850467"
"Rembrandt College";"VEENENDAAL";"Openbaar";793;"31.3997477931904";"34.0479192938209";"34.5523329129886";"96.551724137931";"6.50948275862069";"89.8305084745763";"6.60677966101695";"86.4406779661017";"6.62881355932203";"7.27449078564501";"1.26091173617847"
"Revius Lyceum Doorn";"WIJK BIJ DUURSTEDE";"Protestants-Christelijk";585;"46.4957264957265";"53.5042735042735";"0";"93.8461538461538";"6.48";"96.8253968253968";"6.63650793650794";"-";"-";"2.27848101265823";"3.54430379746835"
"Kalsbeek College, loc. Bredius";"WOERDEN";"Protestants-Christelijk";633;"100";"0";"0";"97.8891820580475";"6.58548812664908";"-";"-";"-";"-";"1.94092827004219";"3.45991561181435"
"Kalsbeek College, loc. Schilderspark";"WOERDEN";"Protestants-Christelijk";1017;"0";"58.4070796460177";"41.5929203539823";"-";"-";"91.6167664670659";"6.56766467065868";"98.5507246376812";"6.80289855072464";"6.5439672801636";"2.65848670756646"
"Minkema College, loc. Mink";"WOERDEN";"Openbaar";1662;"0";"42.9602888086643";"57.0397111913357";"-";"-";"90.0552486187845";"6.43370165745856";"96.4601769911504";"6.8212389380531";"6.21820237422272";"0.226116449971735"
"Minkema College, loc. Stein";"WOERDEN";"Openbaar";374;"100";"0";"0";"98.7124463519313";"6.69570815450644";"-";"-";"-";"-";"21.7543859649123";"4.44444444444444"
