"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Gymnasium Bernrode";"BERNHEZE";"Rooms-Katholiek";670;"0";"0";"100";"-";"-";"-";"-";"95.5752212389381";"6.83185840707965";"4.85584218512898";"0"
"Hooghuis Lyceum";"BERNHEZE";"Algemeen bijzonder";237;"100";"0";"0";"94.0789473684211";"6.57368421052632";"-";"-";"-";"-";"4.65549348230912";"5.40037243947858"
"Baanderherencollege Vmbo";"BOXTEL";"Rooms-Katholiek";393;"100";"0";"0";"97.6744186046512";"6.66627906976744";"-";"-";"-";"-";"1.01892285298399";"0.873362445414847"
"Jacob Roelandslyceum";"BOXTEL";"Rooms-Katholiek";1095;"0";"49.4063926940639";"50.5936073059361";"-";"-";"91.044776119403";"6.61119402985075";"88.8888888888889";"6.67474747474747";"6.82788051209104";"0.284495021337127"
"Christoffel";"BREDA";"Rooms-Katholiek";184;"100";"0";"0";"100";"6.68709677419355";"-";"-";"-";"-";"5.2924791086351";"1.39275766016713"
"De Nassau, loc. De la Reijweg";"BREDA";"Protestants-Christelijk";987;"0";"55.0151975683891";"44.9848024316109";"-";"-";"89.6551724137931";"6.40229885057471";"90.7692307692308";"6.55538461538462";"5.53822152886115";"11.6224648985959"
"De Nassau, loc. Paul Krugerlaan";"BREDA";"Protestants-Christelijk";386;"98.1865284974093";"0";"1.81347150259067";"92.2535211267606";"6.48169014084507";"-";"-";"-";"-";"5.5793991416309";"5.79399141630901"
"De Rotonde vmbo";"BREDA";"Openbaar";153;"100";"0";"0";"100";"6.90294117647059";"-";"-";"-";"-";"19.8433420365535";"0.261096605744125"
"Graaf Engelbrecht";"BREDA";"Openbaar";644;"40.0621118012422";"40.9937888198758";"18.944099378882";"97.5";"6.4575";"88.4615384615385";"6.63269230769231";"85.7142857142857";"7.08571428571429";"4.78589420654912";"11.7128463476071"
"Markenhage";"BREDA";"Rooms-Katholiek";936;"35.3632478632479";"48.9316239316239";"15.7051282051282";"91.8181818181818";"6.33818181818182";"79.8387096774193";"6.35725806451613";"85";"6.575";"6.39789658194566";"3.5056967572305"
"Mencia de Mendoza";"BREDA";"Rooms-Katholiek";1148;"0";"39.5470383275261";"60.4529616724739";"-";"-";"87.5";"6.60546875";"83.3333333333333";"6.57348484848485";"8.79746835443038";"1.89873417721519"
"Michaël college";"BREDA";"Rooms-Katholiek";156;"100";"0";"0";"95.5882352941177";"6.78382352941176";"-";"-";"-";"-";"1.58730158730159";"14.2857142857143"
"Newmancollege";"BREDA";"Rooms-Katholiek";1059;"26.5344664778093";"41.643059490085";"31.8224740321058";"98.4251968503937";"6.83937007874016";"92.1985815602837";"6.55815602836879";"95";"6.775";"4.33823529411765";"11.3235294117647"
"OLV - Breda";"BREDA";"Rooms-Katholiek";1255;"0";"47.0119521912351";"52.9880478087649";"-";"-";"89.6103896103896";"6.50584415584416";"89.84375";"6.74765625";"7.35573874445149";"0.126823081800888"
"Prisma VO";"BREDA";"Openbaar";330;"100";"0";"0";"97.0930232558139";"6.64767441860465";"-";"-";"-";"-";"4.42600276625173";"1.10650069156293"
"Scala vmbo";"BREDA";"Samenwerking PC, RK, Alg. Bijz";472;"100";"0";"0";"96.2264150943396";"6.57075471698113";"-";"-";"-";"-";"5.44611819235226";"2.89687137891078"
"Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo";"BREDA";"Rooms-Katholiek";98;"0";"56.1224489795918";"43.8775510204082";"-";"-";"83.3333333333333";"6.58333333333333";"71.4285714285714";"6.5";"10.625";"0"
"Stedelijk Gymnasium";"BREDA";"Openbaar";997;"0";"0";"100";"-";"-";"-";"-";"92.2077922077922";"6.79220779220779";"6.36182902584493";"0"
"Tessenderlandt";"BREDA";"Rooms-Katholiek";347;"100";"0";"0";"94.8717948717949";"6.53846153846154";"-";"-";"-";"-";"4.90341753343239";"3.56612184249629"
