"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Chr Coll Schaersvoorde";"AALTEN";"Protestants-Christelijk";499;"0";"56.1122244488978";"43.8877755511022";"-";"-";"86.3636363636364";"6.51363636363636";"77.7777777777778";"6.61333333333333";"4.71092077087794";"5.46038543897216"
"Chr Coll Schaersvoorde";"AALTEN";"Protestants-Christelijk";327;"100";"0";"0";"97.6470588235294";"6.75882352941176";"-";"-";"-";"-";"1.85614849187935";"4.64037122969838"
"Chr Coll Schaersvoorde Dinxperlo";"AALTEN";"Protestants-Christelijk";59;"100";"0";"0";"100";"6.80625";"-";"-";"-";"-";"0.675675675675676";"7.43243243243243"
"Corderius College";"AMERSFOORT";"Protestants-Christelijk";1410;"20.5673758865248";"37.0921985815603";"42.3404255319149";"98.1481481481482";"6.58240740740741";"88";"6.5216";"91.2621359223301";"6.74174757281553";"6.79223744292237";"3.48173515981735"
"De Amersfoortse Berg";"AMERSFOORT";"Openbaar";1113;"0";"44.9236298292902";"55.0763701707098";"-";"-";"92.3913043478261";"6.47608695652174";"98.7951807228916";"6.69036144578313";"6.07876712328767";"17.0376712328767"
"Farelcollege";"AMERSFOORT";"Protestants-Christelijk";1361;"25.7163850110213";"40.852314474651";"33.4313005143277";"84.6153846153846";"6.25076923076923";"88.0733944954129";"6.55229357798165";"94.3181818181818";"6.82613636363636";"8.69262865090403";"1.80806675938804"
"GSG Guido de Bres, loc. Arnhemseweg";"AMERSFOORT";"Gereformeerd";299;"100";"0";"0";"92.5373134328358";"6.6455223880597";"-";"-";"-";"-";"3.84615384615385";"3.125"
"GSG Guido de Bres, loc. Paladijnenweg";"AMERSFOORT";"Gereformeerd";589;"0";"52.9711375212224";"47.0288624787776";"-";"-";"87.8048780487805";"6.67317073170732";"93.5897435897436";"6.91025641025641";"6.92640692640693";"0.288600288600289"
"Het Nieuwe Eemland ";"AMERSFOORT";"Rooms-Katholiek";1011;"18.001978239367";"37.9821958456973";"44.0158259149357";"96.8253968253968";"6.65079365079365";"91.7525773195876";"6.48350515463918";"93.5064935064935";"6.68701298701299";"6.28352490421456";"2.98850574712644"
"Johan van Oldenbarnevelt";"AMERSFOORT";"Openbaar";791;"0";"0";"100";"-";"-";"-";"-";"96.7479674796748";"6.83170731707317";"5.45876887340302";"0"
"Mavo Muurhuizen  ";"AMERSFOORT";"Rooms-Katholiek";754;"91.6445623342175";"8.35543766578249";"0";"93.6781609195402";"6.57873563218391";"88";"6.7";"-";"-";"5.29891304347826";"4.21195652173913"
"MAVO Trivium College";"AMERSFOORT";"Openbaar";205;"100";"0";"0";"97.2222222222222";"6.56111111111111";"-";"-";"-";"-";"7.55813953488372";"1.16279069767442"
"Meridiaancollege RK SGM v Lyc Havo Mavo Vbo Lwoo- 't Hooghe Landt";"AMERSFOORT";"Rooms-Katholiek";645;"0";"91.0077519379845";"8.9922480620155";"-";"-";"90.9722222222222";"6.54513888888889";"-";"-";"3.05882352941176";"4.11764705882353"
"Prisma College";"AMERSFOORT";"Protestants-Christelijk";215;"100";"0";"0";"96.3636363636364";"6.61181818181818";"-";"-";"-";"-";"11.36";"3.68"
"t Atrium";"AMERSFOORT";"Openbaar";788;"20.4314720812183";"38.5786802030457";"40.989847715736";"94";"6.474";"86.2068965517241";"6.38965517241379";"90.2777777777778";"6.58055555555556";"6.37007077856421";"3.74115267947422"
"t Hooghe Landt";"AMERSFOORT";"Rooms-Katholiek";689;"28.7373004354136";"0";"71.2626995645864";"98.7951807228916";"6.45903614457831";"-";"-";"95.4545454545455";"6.82121212121212";"8.88888888888889";"3.00653594771242"
"Vakcollege";"AMERSFOORT";"Rooms-Katholiek";214;"100";"0";"0";"98.0582524271845";"6.69805825242718";"-";"-";"-";"-";"0.459770114942529";"7.81609195402299"
"Van Lodensteincollege";"AMERSFOORT";"Reformatorisch";775;"0";"63.0967741935484";"36.9032258064516";"-";"-";"89.0625";"6.53203125";"100";"6.6877358490566";"3.93634840871022";"1.25628140703518"
"Vathorst College";"AMERSFOORT";"Openbaar";455;"20";"52.0879120879121";"27.9120879120879";"92.5925925925926";"6.57407407407407";"82.8828828828829";"6.38468468468468";"93.8775510204082";"6.68571428571429";"7.66871165644172";"2.45398773006135"
"VMBO Trivium College";"AMERSFOORT";"Openbaar";171;"100";"0";"0";"98.7951807228916";"6.6144578313253";"-";"-";"-";"-";"6.49717514124294";"0"
"Wellantcollege";"AMERSFOORT";"Algemeen bijzonder";192;"100";"0";"0";"97.8947368421053";"6.57473684210526";"-";"-";"-";"-";"3.65168539325843";"3.65168539325843"
"Arentheem College, loc. Leerpark Presikhaaf";"ARNHEM";"Samenwerking PC, RK";126;"100";"0";"0";"98.6666666666667";"6.53866666666667";"-";"-";"-";"-";"2.46305418719212";"0.985221674876847"
"Arentheem College, loc. Thomas a Kempis";"ARNHEM";"Samenwerking PC, RK";1694;"0";"38.370720188902";"61.629279811098";"-";"-";"85.2564102564102";"6.53910256410256";"87.3239436619718";"6.68380281690141";"7.42115027829314";"1.66975881261596"
