"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Varendonck College";"ASTEN";"Rooms-Katholiek";611;"0";"42.8805237315876";"57.1194762684124";"-";"-";"93.859649122807";"6.53684210526316";"94.1176470588235";"6.57352941176471";"8.98770104068117";"1.89214758751183"
"Heerbeeck College";"BEST";"Rooms-Katholiek";2014;"23.9324726911619";"42.2542204568024";"33.8133068520358";"97.5460122699387";"6.8478527607362";"88.3333333333333";"6.55166666666667";"98.8888888888889";"6.85111111111111";"3.79260681709073";"2.73643783005281"
"RK SGM Pius X";"BLADEL";"Rooms-Katholiek";1389;"55.4355651547876";"31.4614830813535";"13.1029517638589";"96.0264900662252";"6.61158940397351";"86.046511627907";"6.47906976744186";"92.5925925925926";"6.85740740740741";"5.24290524290524";"1.39490139490139"
"Bravo College";"CRANENDONCK";"Rooms-Katholiek";190;"71.0526315789474";"26.8421052631579";"2.10526315789474";"98.1132075471698";"6.67547169811321";"-";"-";"-";"-";"1.99335548172757";"3.32225913621263"
"Alfrinkcollege";"DEURNE";"Rooms-Katholiek";396;"100";"0";"0";"99.2481203007519";"6.61954887218045";"-";"-";"-";"-";"4.18060200668896";"8.36120401337793"
"Hub van Doornecollege";"DEURNE";"Rooms-Katholiek";387;"100";"0";"0";"96.8944099378882";"6.6695652173913";"-";"-";"-";"-";"1.25348189415042";"3.76044568245125"
"Peelland College";"DEURNE";"Rooms-Katholiek";801;"0";"56.3046192259675";"43.6953807740325";"-";"-";"91.5492957746479";"6.63169014084507";"98.1132075471698";"6.89622641509434";"8.48484848484849";"0.346320346320346"
"St Willibrord Gymnasium";"DEURNE";"Rooms-Katholiek";440;"0";"0";"100";"-";"-";"-";"-";"77.4193548387097";"6.64354838709677";"7.96252927400468";"0"
"Rythovius College";"EERSEL";"Rooms-Katholiek";1070;"25.4205607476636";"35.3271028037383";"39.2523364485981";"97";"6.714";"90";"6.754";"98.3606557377049";"6.87704918032787";"3.359375";"4.609375"
"Aloysius De Roosten";"EINDHOVEN";"Rooms-Katholiek";423;"100";"0";"0";"80.7339449541284";"6.4045871559633";"-";"-";"-";"-";"7.59162303664921";"3.1413612565445"
"Augustinianum SGM";"EINDHOVEN";"Rooms-Katholiek";1013;"0";"40.4738400789733";"59.5261599210267";"-";"-";"85.7142857142857";"6.62285714285714";"89.4117647058824";"6.78";"4.39856373429084";"0.448833034111311"
"Christiaan Huygens College";"EINDHOVEN";"Protestants-Christelijk/Evange";837;"0";"35.6033452807646";"64.3966547192354";"-";"-";"89.5522388059701";"6.60597014925373";"95.5357142857143";"7.06160714285714";"5.54414784394251";"1.23203285420945"
"Eckartcollege";"EINDHOVEN";"Samenwerking PC, RK";1199;"26.7723102585488";"42.2018348623853";"31.0258548790659";"94.6969696969697";"6.58484848484848";"88.8198757763975";"6.50869565217391";"96.5116279069768";"6.76976744186047";"6.24620982413584";"4.24499696785931"
"Frits Philips lyceum";"EINDHOVEN";"Protestants-Christelijk/Evange";1282;"30.2652106084243";"37.1294851794072";"32.6053042121685";"90.7692307692308";"6.48615384615385";"92.2535211267606";"6.62183098591549";"92";"6.76";"7.20606826801517";"2.97092288242731"
"Helicon";"EINDHOVEN";"Algemeen bijzonder";244;"100";"0";"0";"98.3606557377049";"6.65737704918033";"-";"-";"-";"-";"1.53846153846154";"3.73626373626374"
"Lorentz Casimir Lyceum";"EINDHOVEN";"Algemeen bijzonder";1024;"0";"42.578125";"57.421875";"-";"-";"95.2941176470588";"6.58588235294118";"99.0291262135922";"6.96699029126214";"7.23684210526316";"0.575657894736842"
"Novalis College";"EINDHOVEN";"Antroposofisch";349;"28.080229226361";"42.6934097421203";"29.2263610315186";"94.5945945945946";"6.44594594594595";"84.5238095238095";"6.57142857142857";"72.2222222222222";"6.55555555555556";"21.9554030874786";"14.9228130360206"
"Olympia";"EINDHOVEN";"Protestants-Christelijk/Evange";268;"100";"0";"0";"94.017094017094";"6.42307692307692";"-";"-";"-";"-";"5.16431924882629";"2.8169014084507"
"Pleinschool Helder";"EINDHOVEN";"Rooms-Katholiek";62;"0";"62.9032258064516";"37.0967741935484";"-";"-";"84.6153846153846";"6.58461538461538";"85.7142857142857";"6.65714285714286";"8.64864864864865";"0.540540540540541"
"SG De Rooi Pannen";"EINDHOVEN";"Rooms-Katholiek";297;"100";"0";"0";"91.1949685534591";"6.7125786163522";"-";"-";"-";"-";"7.1875";"2.03125"
"Sint-Joriscollege";"EINDHOVEN";"Rooms-Katholiek";1096;"30.2007299270073";"43.2481751824818";"26.551094890511";"96.09375";"6.62578125";"90.6976744186046";"6.60542635658915";"95.9183673469388";"6.59387755102041";"7.73519163763066";"12.2648083623693"
"SiNTLUCAS";"EINDHOVEN";"Overige";239;"100";"0";"0";"98.1981981981982";"6.88738738738739";"-";"-";"-";"-";"3.80549682875264";"10.9936575052854"
"Stedelijk College";"EINDHOVEN";"Openbaar";1206;"16.9983416252073";"39.2205638474295";"43.7810945273632";"91.0891089108911";"6.43168316831683";"91.970802919708";"6.54598540145985";"90.6666666666667";"6.81066666666667";"6.82382133995037";"2.91563275434243"
"Stedelijk College Oude Bossche Baan";"EINDHOVEN";"Openbaar";418;"100";"0";"0";"95.852534562212";"6.5594470046083";"-";"-";"-";"-";"11.1223458038423";"9.50455005055612"
"Summa College";"EINDHOVEN";"Algemeen bijzonder";788;"41.6243654822335";"58.3756345177665";"0";"93.8144329896907";"6.48556701030928";"95.2380952380952";"6.62857142857143";"-";"-";"12.5586854460094";"6.10328638497653"
"Vakcollege Eindhoven";"EINDHOVEN";"Rooms-Katholiek";223;"100";"0";"0";"100";"6.80940170940171";"-";"-";"-";"-";"3.33333333333333";"0.303030303030303"
"Van Maerlantlyceum";"EINDHOVEN";"Rooms-Katholiek";1017;"0";"31.7600786627335";"68.2399213372665";"-";"-";"94.6666666666667";"6.48533333333333";"94.4444444444444";"6.75555555555556";"10.0549882168107";"0.864100549882168"
"Strabrechtcollege";"GELDROP-MIERLO";"Algemeen bijzonder";721;"23.5783633841886";"40.6380027739251";"35.7836338418863";"94.3820224719101";"6.52696629213483";"88.1118881118881";"6.41818181818182";"92.4242424242424";"6.8030303030303";"8.47201210287443";"1.96671709531014"
"Commanderij College";"GEMERT-BAKEL";"Algemeen bijzonder";964;"0";"73.5477178423237";"26.4522821576764";"-";"-";"92.1686746987952";"6.58795180722892";"96.3636363636364";"6.77272727272727";"4.72878998609179";"2.64255910987483"
"Commanderij College, loc. vmbo Gemert";"GEMERT-BAKEL";"Algemeen bijzonder";406;"100";"0";"0";"97.6415094339623";"6.54905660377358";"-";"-";"-";"-";"2.00267022696929";"1.60213618157543"
"Carolus Borromeus College";"HELMOND";"Rooms-Katholiek";1422;"30.7313642756681";"37.4824191279887";"31.7862165963432";"91.7808219178082";"6.63150684931507";"93.4065934065934";"6.54725274725275";"90.4761904761905";"6.62142857142857";"6.77048070412999";"2.7758970886933"
"Dr.-Knippenbergcollege";"HELMOND";"Rooms-Katholiek";1294;"34.3122102009274";"45.9041731066461";"19.7836166924266";"92.3076923076923";"6.58205128205128";"84.7328244274809";"6.45648854961832";"84.7826086956522";"6.60978260869565";"7.19951189749847";"3.90482001220256"
"Jan van Brabant College Deltaweg";"HELMOND";"Openbaar";374;"100";"0";"0";"86.1842105263158";"6.35789473684211";"-";"-";"-";"-";"4.92957746478873";"3.16901408450704"
"Jan van Brabant College Molenstraat";"HELMOND";"Openbaar";866;"15.2424942263279";"48.729792147806";"36.0277136258661";"95.7446808510638";"6.50212765957447";"93.75";"6.55";"92.3076923076923";"6.8";"10.7177974434612";"2.3598820058997"
"Vakcollege Helmond ";"HELMOND";"Rooms-Katholiek";250;"100";"0";"0";"91.5966386554622";"6.52605042016807";"-";"-";"-";"-";"4.16666666666667";"4.96031746031746"
"Commanderij College, loc. vmbo Laarbeek";"LAARBEEK";"Algemeen bijzonder";342;"100";"0";"0";"96.4788732394366";"6.52323943661972";"-";"-";"-";"-";"4.53752181500873";"2.09424083769634"
"Pleincollege Nuenen";"NUENEN CA";"Samenwerking PC, RK";324;"100";"0";"0";"90.9090909090909";"6.55804195804196";"-";"-";"-";"-";"5.26315789473684";"0.657894736842105"
"Kempenhorst VMBO College";"OIRSCHOT";"Rooms-Katholiek";677;"100";"0";"0";"96.8421052631579";"6.60105263157895";"-";"-";"-";"-";"2.40963855421687";"1.57553290083411"
"Varendonck College";"SOMEREN";"Rooms-Katholiek";442;"100";"0";"0";"97.4874371859297";"6.57738693467337";"-";"-";"-";"-";"2.9986962190352";"3.91134289439374"
"SG Were Di";"VALKENSWAARD";"Rooms-Katholiek";1715;"42.0991253644315";"29.9708454810496";"27.9300291545189";"94.5121951219512";"6.58353658536585";"91.566265060241";"6.67469879518072";"93.0555555555556";"6.7125";"5.44244322631167";"3.32811276429131"
"Sondervick College";"VELDHOVEN";"Rooms-Katholiek";1294;"34.3894899536321";"31.9938176197836";"33.6166924265842";"93.4883720930233";"6.54558139534884";"94.017094017094";"6.47179487179487";"95.1807228915663";"6.71686746987952";"6.8421052631579";"3.34928229665072"
