"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Mollerlyceum ";"BERGEN OP ZOOM";"Rooms-Katholiek";594;"3.87205387205387";"55.0505050505051";"41.0774410774411";"91.4893617021277";"6.37659574468085";"81.8181818181818";"6.5625";"87.5";"6.955";"10.6606606606607";"0.600600600600601"
"Pomona vmbo";"BERGEN OP ZOOM";"Algemeen bijzonder";64;"100";"0";"0";"100";"6.796875";"-";"-";"-";"-";"2.14285714285714";"4.28571428571429"
"RK Gymnasium Juvenaat H. Hart";"BERGEN OP ZOOM";"Rooms-Katholiek";398;"0";"0";"100";"-";"-";"-";"-";"91.9354838709677";"6.58870967741935";"8.80195599022005";"0"
"Roncalli Scholengemeenschap";"BERGEN OP ZOOM";"Samenwerking PC, RK";732;"40.1639344262295";"35.792349726776";"24.0437158469945";"94.0789473684211";"6.58815789473684";"92";"6.66533333333333";"95.8333333333333";"6.87083333333333";"7.27554179566563";"12.3839009287926"
"RSG 't Rijks";"BERGEN OP ZOOM";"Openbaar";2107;"30.8020882771713";"42.3350735643094";"26.8628381585192";"94";"6.573";"87.2727272727273";"6.56109090909091";"94";"6.849";"7.25266062278281";"4.02049664958613"
"Steenspil vmbo";"BERGEN OP ZOOM";"Algemeen bijzonder";149;"100";"0";"0";"97.5806451612903";"6.63790322580645";"-";"-";"-";"-";"2.59179265658747";"1.72786177105832"
"Chr SGM Prins Maurits";"GOEREE-OVERFLAKKEE";"Protestants-Christelijk";1386;"39.8268398268398";"36.1471861471861";"24.025974025974";"98.7951807228916";"6.93253012048193";"98.7654320987654";"6.70740740740741";"100";"7.05681818181818";"2.366040361865";"1.60055671537926"
"Edudelta College Middelharnis";"GOEREE-OVERFLAKKEE";"Openbaar";239;"100";"0";"0";"95.2380952380952";"6.76476190476191";"-";"-";"-";"-";"0.911161731207289";"5.23917995444191"
"RGO";"GOEREE-OVERFLAKKEE";"Openbaar";959;"30.9697601668405";"44.9426485922836";"24.0875912408759";"92.3076923076923";"6.52307692307692";"85.1851851851852";"6.53333333333333";"88.4615384615385";"6.80769230769231";"6.53095843935539";"17.3027989821883"
"RGO groen-techniek-economie";"GOEREE-OVERFLAKKEE";"Openbaar";29;"100";"0";"0";"100";"6.91481481481481";"-";"-";"-";"-";"-";"-"
"Calvijn College";"GOES";"Reformatorisch";943;"0";"53.5524920466596";"46.4475079533404";"-";"-";"96.4102564102564";"6.61846153846154";"95.8904109589041";"6.84520547945205";"3.45104333868379";"0.321027287319422"
"Calvijn College voor Reformatorisch Vmbo Havo Vwo";"GOES";"Reformatorisch";146;"100";"0";"0";"97.4683544303797";"6.73037974683544";"-";"-";"-";"-";"2.89256198347107";"2.06611570247934"
"Het Goese Lyceum";"GOES";"Openbaar";277;"100";"0";"0";"97.2789115646258";"6.80884353741497";"-";"-";"-";"-";"3.42298288508557";"0.244498777506112"
"Ostrea Lyceum mavo havo";"GOES";"Samenwerking PC, RK";868;"0";"54.7235023041475";"45.2764976958525";"-";"-";"96.551724137931";"6.67844827586207";"87.0967741935484";"6.54193548387097";"5.94827586206897";"11.551724137931"
"Ostrea Lyceum vmbo";"GOES";"Samenwerking PC, RK";270;"100";"0";"0";"98.0769230769231";"6.65641025641026";"-";"-";"-";"-";"4.30839002267574";"2.26757369614512"
"Ostrea Lyceum vwo";"GOES";"Samenwerking PC, RK";242;"100";"0";"0";"96.7213114754098";"6.6";"-";"-";"-";"-";"4.61538461538462";"0"
"Pontes";"GOES";"Openbaar";1152;"24.9131944444444";"36.4583333333333";"38.6284722222222";"92.6315789473684";"6.5";"89.1472868217054";"6.46124031007752";"84.6938775510204";"6.80816326530612";"10.3169670602859";"9.88191423244251"
"Reynaert College, loc. Gildenstraat";"HULST";"Rooms-Katholiek";340;"100";"0";"0";"98.2758620689655";"6.66379310344828";"-";"-";"-";"-";"4.76190476190476";"8.44155844155844"
"Reynaert College, loc. Zoutestraat";"HULST";"Rooms-Katholiek";561;"0";"57.9322638146168";"42.0677361853832";"-";"-";"88.7323943661972";"6.52394366197183";"90.7407407407407";"7.06111111111111";"6.82352941176471";"2.82352941176471"
