"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Chr Coll Schaersvoorde";"AALTEN";"Protestants-Christelijk";499;"0";"56.1122244488978";"43.8877755511022";"-";"-";"86.3636363636364";"6.51363636363636";"77.7777777777778";"6.61333333333333";"4.71092077087794";"5.46038543897216"
"Chr Coll Schaersvoorde";"AALTEN";"Protestants-Christelijk";327;"100";"0";"0";"97.6470588235294";"6.75882352941176";"-";"-";"-";"-";"1.85614849187935";"4.64037122969838"
"Chr Coll Schaersvoorde Dinxperlo";"AALTEN";"Protestants-Christelijk";59;"100";"0";"0";"100";"6.80625";"-";"-";"-";"-";"0.675675675675676";"7.43243243243243"
"Het Noordik, loc. C. van Renneslaan";"ALMELO";"Protestants-Christelijk";371;"100";"0";"0";"91.5555555555556";"6.62888888888889";"-";"-";"-";"-";"4.01721664275466";"11.7647058823529"
"Het Noordik, loc. Noordikslaan";"ALMELO";"Protestants-Christelijk";1111;"0";"53.9153915391539";"46.0846084608461";"-";"-";"93.167701863354";"6.67577639751553";"90.5882352941177";"6.81529411764706";"8.84167237834133";"2.26182316655243"
"Openbare SGM Erasmus, loc. havo/vwo";"ALMELO";"Openbaar";909;"0";"55.995599559956";"44.004400440044";"-";"-";"87.1559633027523";"6.40733944954128";"80";"6.544";"4.24088210347752";"4.83460559796438"
"Openbare SGM Erasmus, loc. vmbo";"ALMELO";"Openbaar";367;"100";"0";"0";"95.8549222797927";"6.67512953367876";"-";"-";"-";"-";"3.52941176470588";"6.5546218487395"
"Pius X College, loc. Aalderinkshoek";"ALMELO";"Rooms-Katholiek";456;"0";"54.3859649122807";"45.6140350877193";"-";"-";"89.3333333333333";"6.59333333333333";"95";"6.67333333333333";"6.81458003169572";"3.486529318542"
"Pius X College, loc. Van Renneslaan";"ALMELO";"Rooms-Katholiek";261;"100";"0";"0";"93.2835820895522";"6.48432835820896";"-";"-";"-";"-";"2.1978021978022";"7.47252747252747"
"RK SGM Canisius";"ALMELO";"Rooms-Katholiek";863;"19.0034762456547";"49.2468134414832";"31.7497103128621";"92.4050632911392";"6.34050632911392";"87.8378378378378";"6.35067567567568";"91.3793103448276";"6.53793103448276";"4.18994413407821";"4.93482309124767"
"Zone.college vmboAlmelo";"ALMELO";"Overige";337;"100";"0";"0";"95.1515151515152";"6.6";"-";"-";"-";"-";"-";"-"
"Het Assink lyceum voor Lyceum Havo Mavo Vbo Lwoo";"BERKELLAND";"Rooms-Katholiek";459;"100";"0";"0";"97.8494623655914";"6.66487455197133";"-";"-";"-";"-";"3.10786106032907";"1.46252285191956"
"Staring College Beukenlaan";"BERKELLAND";"Openbaar";119;"60.5042016806723";"20.1680672268908";"19.327731092437";"100";"6.80967741935484";"-";"-";"-";"-";"1.17647058823529";"7.35294117647059"
"Staring College Herenlaan";"BERKELLAND";"Openbaar";96;"100";"0";"0";"100";"6.53225806451613";"-";"-";"-";"-";"4.92957746478873";"0"
"zone.college vmbo Borculo";"BERKELLAND";"Overige";177;"100";"0";"0";"95.5555555555556";"6.96888888888889";"-";"-";"-";"-";"-";"-"
"Ulenhof 't Beeckland";"BRONCKHORST";"Protestants-Christelijk";85;"100";"0";"0";"98";"6.66";"-";"-";"-";"-";"1.08695652173913";"6.15942028985507"
"De Keurkamp";"DEVENTER";"Algemeen bijzonder";209;"100";"0";"0";"93.7007874015748";"6.45905511811024";"-";"-";"-";"-";"2.77777777777778";"1.94444444444444"
"Etty Hillesum Lyceum";"DEVENTER";"Algemeen bijzonder";1491;"0";"53.1857813547954";"46.8142186452046";"-";"-";"94.4954128440367";"6.6519877675841";"92";"6.72533333333333";"13.2936507936508";"0.661375661375661"
"Het Slatink";"DEVENTER";"Algemeen bijzonder";763;"97.7719528178244";"2.22804718217562";"0";"94.2622950819672";"6.52377049180328";"-";"-";"-";"-";"9.32944606413994";"5.4421768707483"
"Bonhoeffer College Bruggertstr";"ENSCHEDE";"Samenwerking PC, RK";1198;"0";"53.7562604340568";"46.2437395659432";"-";"-";"91.2280701754386";"6.56491228070175";"92.9824561403509";"6.86315789473684";"8.17813765182186";"1.37651821862348"
"Bonhoeffer College Geessinkweg";"ENSCHEDE";"Samenwerking PC, RK";155;"100";"0";"0";"94.6808510638298";"6.42234042553192";"-";"-";"-";"-";"8.94039735099338";"2.98013245033113"
"Bonhoeffer College vd Waalslaan";"ENSCHEDE";"Samenwerking PC, RK";1206;"25.0414593698176";"34.3283582089552";"40.6301824212272";"97.4193548387097";"6.52129032258064";"87.0748299319728";"6.64557823129252";"93.6170212765958";"6.90106382978723";"6.31521142229544";"2.19659527732015"
"Bonhoeffer College, wet. Beversstr";"ENSCHEDE";"Samenwerking PC, RK";354;"100";"0";"0";"97.8070175438597";"6.52938596491228";"-";"-";"-";"-";"2.82485875706215";"4.09604519774011"
"Greijdanus College";"ENSCHEDE";"Gereformeerd";124;"91.1290322580645";"8.06451612903226";"0.806451612903226";"100";"6.44";"-";"-";"-";"-";"6.5359477124183";"1.30718954248366"
