GEMEENTENAAM VESTIGING;ADRES PLAATS;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;TITELGEMEENTEN;ADRES-naam;ADRES;ADRES_STRAAT;ADRES-NR;ADRES_PC;ADRES PLAATS;DENOMINATIE
AALBURG;WIJK EN AALBURG;01GH01;Willem v Oranje College;AALBURG;W v Oranje Coll Chr SGM v Ath Havo Mavo Vbo Lwoo;Perzikstraat 7, 4261 KC WIJK EN AALBURG;Perzikstraat;7;4261 KC;WIJK EN AALBURG;Protestants-Christelijk
AALTEN;AALTEN;00LJ00;Chr Coll Schaersvoorde;AALTEN;Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo;Slingelaan 28, 7122 AW AALTEN;Slingelaan;28;7122 AW;AALTEN;Protestants-Christelijk
AALTEN;DINXPERLO;00LJ01;Chr Coll Schaersvoorde Dinxperlo;AALTEN;Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo;Europastraat 6, 7091 XC DINXPERLO;Europastraat;6;7091 XC;DINXPERLO;Protestants-Christelijk
AALTEN;AALTEN;00LJ05;Chr Coll Schaersvoorde;AALTEN;Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo;Landbouwstraat 1, 7122 VM AALTEN;Landbouwstraat;1;7122 VM;AALTEN;Protestants-Christelijk
ALMELO;ALMELO;01IC15;AOC Oost;ALMELO;AOC Oost;Bornerbroeksestraat 348, 7609 PH ALMELO;Bornerbroeksestraat;348;7609 PH;ALMELO;Algemeen bijzonder
ALMELO;ALMELO;02DO00;Het Noordik;ALMELO;Protestants Scholengemeenschap Het Noordik voor Lyceum Havo Mavo Vbo Lwoo;Noordikslaan 68, 7602 CG ALMELO;Noordikslaan;68;7602 CG;ALMELO;Protestants-Christelijk
ALMELO;ALMELO;02EK00;Pius X College;ALMELO;Pius X College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Cesar Franckstraat 4, 7604 JG ALMELO;Cesar Franckstraat;4;7604 JG;ALMELO;Rooms-Katholiek
ALMELO;ALMELO;04HR00;Openbare SGM Erasmus;ALMELO;Openbare Scholengemeenschap Erasmus Lyceum Havo Mavo Vbo Lwoo;Sluiskade Noordzijde 68, 7602 HT ALMELO;Sluiskade Noordzijde;68;7602 HT;ALMELO;Openbaar
ALMELO;ALMELO;16VI00;RK SGM Canisius;ALMELO;R.K. Scholengemeenschap  Canisius voor vmbo havo vwo;Slot 31, 7608 ND ALMELO;Slot;31;7608 ND;ALMELO;Rooms-Katholiek
ALPHEN AAN DEN RIJN;BOSKOOP;01OE27;Wellantcollege;ALPHEN AAN DEN RIJN;Wellantcollege;Zijde 105, 2771 EV BOSKOOP;Zijde;105;2771 EV;BOSKOOP;Algemeen bijzonder
ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;01OE30;Wellantcollege;ALPHEN AAN DEN RIJN;Wellantcollege;Kalkovenweg 62, 2401 LK ALPHEN AAN DEN RIJN;Kalkovenweg;62;2401 LK;ALPHEN AAN DEN RIJN;Algemeen bijzonder
ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;04DF00;Ashram College;ALPHEN AAN DEN RIJN;Ashram College Rooms Katholieke Scholengemeenschap voor Atheneum Havo Mavo Vbo;Marsdiep 289, 2401 XH ALPHEN AAN DEN RIJN;Marsdiep;289;2401 XH;ALPHEN AAN DEN RIJN;Rooms-Katholiek
ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;10AN03;Scala College;ALPHEN AAN DEN RIJN;Scala College voor Atheneum Havo Vmbo-Loot;Diamantstraat 31, 2403 AS ALPHEN AAN DEN RIJN;Diamantstraat;31;2403 AS;ALPHEN AAN DEN RIJN;Openbaar
ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;10AN04;Scala College;ALPHEN AAN DEN RIJN;Scala College voor Atheneum Havo Vmbo-Loot;Dr. A.D. Sacharovlaan 1, 2405 WB ALPHEN AAN DEN RIJN;Dr. A.D. Sacharovlaan;1;2405 WB;ALPHEN AAN DEN RIJN;Openbaar
ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;15BH00;Chr Sgm Groene Hart Leerpark;ALPHEN AAN DEN RIJN;Chr Scholengemeenschap Groene Hart;Prinses Beatrixlaan 4, 2404 XC ALPHEN AAN DEN RIJN;Prinses Beatrixlaan;4;2404 XC;ALPHEN AAN DEN RIJN;Protestants-Christelijk
ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;15BH01;Chr Sgm Groene Hart Lyceum;ALPHEN AAN DEN RIJN;Chr Scholengemeenschap Groene Hart Lyceum voor Lyceum Havo Mavo Vbo Lwoo;Tolstraat 11, 2405 VS ALPHEN AAN DEN RIJN;Tolstraat;11;2405 VS;ALPHEN AAN DEN RIJN;Protestants-Christelijk
ALPHEN AAN DEN RIJN;HAZERSWOUDE-DORP;15BH04;Chr Sgm Groene Hart Rijnwoude;ALPHEN AAN DEN RIJN;Chr Scholengemeenschap Groene Hart vestiging Rijnwoude;Sportparklaan 4, 2391 AX HAZERSWOUDE-DORP;Sportparklaan;4;2391 AX;HAZERSWOUDE-DORP;Protestants-Christelijk
ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;15BH05;Chr Sgm Groene Hart Topmavo;ALPHEN AAN DEN RIJN;Chr Scholengemeenschap Groene Hart vestiging Topmavo;Halverwege 4, 2402 NK ALPHEN AAN DEN RIJN;Halverwege;4;2402 NK;ALPHEN AAN DEN RIJN;Protestants-Christelijk
AMERSFOORT;AMERSFOORT;00JT00;GSG Guido de Bres;AMERSFOORT;Gereformeerd Scholengemeenschap Guido De Bres Lyceum HAVO MAVO VBO LWOO;Paladijnenweg 251, 3813 DH AMERSFOORT;Paladijnenweg;251;3813 DH;AMERSFOORT;Gereformeerd
AMERSFOORT;AMERSFOORT;00ML00;Het Nieuwe Eemland ;AMERSFOORT;Meridiaancollege RK SGM v Lyc Havo Mavo Vbo Lwoo;Daam Fockemalaan 12, 3818 KG AMERSFOORT;Daam Fockemalaan;12;3818 KG;AMERSFOORT;Rooms-Katholiek
AMERSFOORT;AMERSFOORT;00ML02;Mavo Muurhuizen  ;AMERSFOORT;Meridiaancollege RK SGM v Lyc Havo Mavo Vbo Lwoo;Zangvogelweg 4, 3815 DL AMERSFOORT;Zangvogelweg;4;3815 DL;AMERSFOORT;Rooms-Katholiek
AMERSFOORT;AMERSFOORT;00ML09;Vakcollege;AMERSFOORT;Meridiaan College RK SGM v Lyc Havo Mavo Vbo Lwoo;Hooglandseweg-Noord 55, 3813 VD AMERSFOORT;Hooglandseweg-Noord;55;3813 VD;AMERSFOORT;Rooms-Katholiek
AMERSFOORT;AMERSFOORT;00ML12;’t Hooghe Landt;AMERSFOORT;Meridiaancollege RK SGM v Lyc Havo Mavo Vbo Lwoo;Parelhoenstraat 4, 3815 AG AMERSFOORT;Parelhoenstraat;4;3815 AG;AMERSFOORT;Rooms-Katholiek
AMERSFOORT;AMERSFOORT;01OE16;Wellantcollege;AMERSFOORT;Wellantcollege;Bergenboulevard 11, 3825 AG AMERSFOORT;Bergenboulevard;11;3825 AG;AMERSFOORT;Algemeen bijzonder
AMERSFOORT;AMERSFOORT;03WO00;Van Lodensteincollege;AMERSFOORT;Van Lodensteincollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Utrechtseweg 228, 3818 ET AMERSFOORT;Utrechtseweg;228;3818 ET;AMERSFOORT;Reformatorisch
AMERSFOORT;AMERSFOORT;14RC00;Farelcollege;AMERSFOORT;Meerwegen College;Paladijnenweg 101, 3813 DC AMERSFOORT;Paladijnenweg;101;3813 DC;AMERSFOORT;Protestants-Christelijk
AMERSFOORT;AMERSFOORT;14RC04;Corderius College;AMERSFOORT;Meerwegen College vestiging Corderius;Lambert Heijnricsstraat 23, 3817 ER AMERSFOORT;Lambert Heijnricsstraat;23;3817 ER;AMERSFOORT;Protestants-Christelijk
AMERSFOORT;AMERSFOORT;14RC06;Prisma College;AMERSFOORT;Meerwegen College vestiging Keistad;Kaliumweg 2, 3812 PT AMERSFOORT;Kaliumweg;2;3812 PT;AMERSFOORT;Protestants-Christelijk
AMERSFOORT;AMERSFOORT;20CK00;Johan van Oldenbarnevelt;AMERSFOORT;Joh van Oldenbarnevelt Gymnasium;Thorbeckeplein 1, 3818 JL AMERSFOORT;Thorbeckeplein;1;3818 JL;AMERSFOORT;Openbaar
AMERSFOORT;AMERSFOORT;20EA00;De Amersfoortse Berg;AMERSFOORT;Openbaar lyceum De Amersfoortse Berg;Hugo de Grootlaan 25, 3818 TA AMERSFOORT;Hugo de Grootlaan;25;3818 TA;AMERSFOORT;Openbaar
AMERSFOORT;AMERSFOORT;20EI00;t Atrium;AMERSFOORT;Vallei College voor Ath Havo Mavo Vbo Lwoo;Paladijnenweg 611, 3813 KD AMERSFOORT;Paladijnenweg;611;3813 KD;AMERSFOORT;Openbaar
AMERSFOORT;AMERSFOORT;20EI01;Trivium College;AMERSFOORT;Vallei College voor Ath Havo Mavo Vbo Lwoo locatie De Boogschutter;Dierenriem 11, 3813 VN AMERSFOORT;Dierenriem;11;3813 VN;AMERSFOORT;Openbaar
AMERSFOORT;AMERSFOORT;20EI03;Vathorst College;AMERSFOORT;Vallei College voor Ath Havo Mavo Vbo Lwoo;Lovink 6, 3825 MP AMERSFOORT;Lovink;6;3825 MP;AMERSFOORT;Openbaar
APELDOORN;APELDOORN;01RL00;Jacobus Fruijtier SGM;APELDOORN;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Anklaarseweg 71, 7316 MB APELDOORN;Anklaarseweg;71;7316 MB;APELDOORN;Reformatorisch
APELDOORN;UDDEL;01RL02;Jacobus Fruijtier SGM Uddel;APELDOORN;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Garderenseweg 37-43, 3888 LA UDDEL;Garderenseweg;37-43;3888 LA;UDDEL;Reformatorisch
APELDOORN;APELDOORN;01RL03;Jacobus Fruijtier SGM Musschenburgh;APELDOORN;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Musschenbroekstraat 11, 7316 JD APELDOORN;Musschenbroekstraat;11;7316 JD;APELDOORN;Reformatorisch
APELDOORN;APELDOORN;02RA00;Veluws College Walterbosch;APELDOORN;Katholieke Scholengemeenschap Veluws College voor Gymn Ath Havo Mavo en Vmbo;Waltersingel 130, 7314 NX APELDOORN;Waltersingel;130;7314 NX;APELDOORN;Rooms-Katholiek
APELDOORN;APELDOORN;02RA01;Veluws College Cortenbosch;APELDOORN;Katholieke SGM Veluws College voor Gymn Ath Havo Mavo en Vmbo vest Cortenbosch;Prinses Beatrixlaan 259, 7312 DG APELDOORN;Prinses Beatrixlaan;259;7312 DG;APELDOORN;Rooms-Katholiek
APELDOORN;APELDOORN;02RA02;Veluws College Mheenpark;APELDOORN;Katholieke SGM Veluws College voor Gymn Ath Havo Mavo en Vmbo vest Mheenpark;Zilverschoon 43, 7322 GG APELDOORN;Zilverschoon;43;7322 GG;APELDOORN;Rooms-Katholiek
APELDOORN;APELDOORN;08SG00;De Heemgaard;APELDOORN;Christelijk Voortgezet Onderwijs Apeldoorn voor Gymn Ath Havo Mavo en Vmbo;Heemradenlaan 125, 7329 BZ APELDOORN;Heemradenlaan;125;7329 BZ;APELDOORN;Protestants-Christelijk
APELDOORN;APELDOORN;08SG01;Sprengeloo ;APELDOORN;Chr VO Apeldoorn voor Gymn Ath Havo Mavo en Vmbo, vest. Sprengeloo;Sprengenweg 81, 7314 PH APELDOORN;Sprengenweg;81;7314 PH;APELDOORN;Protestants-Christelijk
APELDOORN;APELDOORN;08SG06;Christelijk Lyceum Apeldoorn;APELDOORN;Chr VO Apeldoorn voor Gymn Ath Havo Mavo en Vmbo, vest. Christelijk Lyceum;Jachtlaan 108, 7313 EC APELDOORN;Jachtlaan;108;7313 EC;APELDOORN;Protestants-Christelijk
APELDOORN;APELDOORN;20KQ00;Openbare SGM Apeldoorn;APELDOORN;Openbare Scholengemeenschap Apeldoorn;Jhr Mr G W Molleruslaan 42, 7316 AW APELDOORN;Jhr Mr G W Molleruslaan;42;7316 AW;APELDOORN;Openbaar
APELDOORN;APELDOORN;20KQ04;Edison College;APELDOORN;Openbare Scholengemeenschap Apeldoorn;Waleweingaarde 103, 7329 BD APELDOORN;Waleweingaarde;103;7329 BD;APELDOORN;Openbaar
APELDOORN;APELDOORN;20QU00;Gymnasium Apeldoorn;APELDOORN;Gymnasium Apeldoorn;Kastanjelaan 10, 7316 BN APELDOORN;Kastanjelaan;10;7316 BN;APELDOORN;Openbaar
ARNHEM;ARNHEM;00JT03;Geref SGM Guido de Bres;ARNHEM;Gereformeerd Scholengemeenschap Guido De Bres Lyceum HAVO MAVO VBO LWOO;Grensweg 2, 6823 JH ARNHEM;Grensweg;2;6823 JH;ARNHEM;Gereformeerd
ARNHEM;ARNHEM;00TQ00;SGM Mariëndael;ARNHEM;Scholengemeenschap Mariëndael VBO LWOO;Middachtensingel 12, 6825 HN ARNHEM;Middachtensingel;12;6825 HN;ARNHEM;Protestants-Christelijk
ARNHEM;ARNHEM;05FF00;Olympuscollege;ARNHEM;Olympuscollege PC RK SGM voor Lyceum Havo Mavo;Olympus 11, 6832 EL ARNHEM;Olympus;11;6832 EL;ARNHEM;Samenwerking PC, RK
ARNHEM;ARNHEM;07PK00;Arentheem College;ARNHEM;Arentheem College Interconfessionele School voor Atheneum Gymnasium Havo Vmbo;Thomas a Kempislaan 25, 6822 LR ARNHEM;Thomas a Kempislaan;25;6822 LR;ARNHEM;Samenwerking PC, RK
ARNHEM;ARNHEM;20RM00;Stedelijk Gymnasium Arnhem;ARNHEM;Stedelijk Gymnasium Arnhem;Thorbeckestraat 17, 6828 TS ARNHEM;Thorbeckestraat;17;6828 TS;ARNHEM;Openbaar
ARNHEM;ARNHEM;20TZ00;Lorentz Lyceum;ARNHEM;Lorentz Groep;Groningensingel 1245, 6835 HZ ARNHEM;Groningensingel;1245;6835 HZ;ARNHEM;Openbaar
ARNHEM;ARNHEM;20TZ07;Maarten van Rossem;ARNHEM;Lorentz Groep vestiging Maarten van Rossem;Groningensingel 1235, 6835 HZ ARNHEM;Groningensingel;1235;6835 HZ;ARNHEM;Openbaar
ARNHEM;ARNHEM;25GL00;Beekdal Lyceum;ARNHEM;Openb. SGM. Arnhem Noord. voor lyceum, havo, mavo en vbo;Bernhardlaan 49, 6824 LE ARNHEM;Bernhardlaan;49;6824 LE;ARNHEM;Openbaar
ARNHEM;ARNHEM;25GL04;Vmbo 't Venster;ARNHEM;Openb. SGM. Arnhem Noord voor lyceum, havo, mavo en vbo;Thomas a Kempislaan 82, 6822 LS ARNHEM;Thomas a Kempislaan;82;6822 LS;ARNHEM;Openbaar
ARNHEM;ARNHEM;25GL06;Montessori College;ARNHEM;Openb. SGM. Arnhem Noord voor lyceum, havo, mavo en vbo;Utrechtseweg 174, 6812 AL ARNHEM;Utrechtseweg;174;6812 AL;ARNHEM;Openbaar
ASTEN;ASTEN;13PE00;Varendonck College;ASTEN;Varendonck College voor Atheneum Gymnasium Havo Vmbo Lwoo Pro;Beatrixlaan 25, 5721 LZ ASTEN;Beatrixlaan;25;5721 LZ;ASTEN;Rooms-Katholiek
