VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;Plaats;Gemeente;DENOMINATIE
00AH00;Het Stedelijk Lyceum, locatie Kottenpark;ENSCHEDE;ENSCHEDE;Openbaar
00AH07;Het Stedelijk Lyceum, locatie Zuid;ENSCHEDE;ENSCHEDE;Openbaar
00AH08;Het Stedelijk Lyceum, De Stedelijke Mavo ;ENSCHEDE;ENSCHEDE;Openbaar
00AH09;Het Stedelijk Lyceum, Innova ;ENSCHEDE;ENSCHEDE;Openbaar
00AH17;Het Stedelijk Lyceum, Stedelijk Vakcollege;ENSCHEDE;ENSCHEDE;Openbaar
00AQ00;Zwin College SGM;OOSTBURG;SLUIS;Algemeen bijzonder
00BD00;Coenecoop College;WADDINXVEEN;WADDINXVEEN;Openbaar
00CB00;Karel de Grote College;NIJMEGEN;NIJMEGEN;Antroposofisch
00CB01;Stichtse Vrije School;ZEIST;ZEIST;Antroposofisch
00CB02;Novalis College;EINDHOVEN;EINDHOVEN;Antroposofisch
00HI00;SGM Dalton Vatel;VOORBURG;LEIDSCHENDAM-VOORBURG;Algemeen bijzonder
00HI03;SGM Dalton Vatel;'S-GRAVENHAGE;S GRAVENHAGE;Algemeen bijzonder
00JR00;SGM Spieringshoek;SCHIEDAM;SCHIEDAM;Rooms-Katholiek
00JT00;GSG Guido de Bres, loc. Paladijnenweg;AMERSFOORT;AMERSFOORT;Gereformeerd
00JT02;GSG Guido de Bres, loc. Arnhemseweg;AMERSFOORT;AMERSFOORT;Gereformeerd
00JT03;GSG Guido de Bres;ARNHEM;ARNHEM;Gereformeerd
00KV00;KSE;ETTEN-LEUR;ETTEN-LEUR;Rooms-Katholiek
00LJ00;Chr Coll Schaersvoorde;AALTEN;AALTEN;Protestants-Christelijk
00LJ01;Chr Coll Schaersvoorde Dinxperlo;DINXPERLO;AALTEN;Protestants-Christelijk
00LJ02;Chr Coll Schaersvoorde;WINTERSWIJK;WINTERSWIJK;Protestants-Christelijk
00LJ05;Chr Coll Schaersvoorde;AALTEN;AALTEN;Protestants-Christelijk
00LY00;Zeldenrust Steelantcollege;TERNEUZEN;TERNEUZEN;Samenwerking PC, RK
